CASE_NUMBER,Date Rptd,DATE OCC,TIME OCC,COD_AREA,Rpt Dist No,Part 1-2,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used Cd,Status,Status Desc,LOCATION,Cross Street,LAT,LON,Custom
201509525,5/4/2020,5/4/2020,520,15,1521,1,510,0,,,101,-9,IC,Invest Cont,7000 FULTON AV,,34.1976,-118.4225,7000 FULTON AV
201609797,6/8/2020,6/5/2020,1700,16,1636,1,310,0,M,W,120,-9,IC,Invest Cont,WENTWORTH,WHEATLAND,34.2644,-118.3386,WENTTHRTH
201410671,5/9/2020,5/9/2020,1850,14,1435,2,745,0,X,X,210,-9,IC,Invest Cont,12000 VENICE BL,,34.0111,-118.4293,1200 VENIC BL
201911577,6/30/2020,6/29/2020,2000,19,1902,1,510,0,,,101,-9,IC,Invest Cont,14400 FOOTHILL BL,,34.3209,-118.4477,1440 BL FOOTH BL
202113830,9/15/2020,9/14/2020,2100,21,2155,2,745,19,F,W,101,-9,IC,Invest Cont,6100 NEVADA AV,,34.1809,-118.6089,6100 NEVADA AV
202007151,3/6/2020,3/5/2020,1600,20,2019,1,440,42,F,O,102,-9,IC,Invest Cont,1ST ST,VERMONT AV,34.0728,-118.2917,1ST S ST
231805781,2/3/2023,7/1/2020,805,18,1802,2,354,22,F,B,502,-9,IC,Invest Cont,400 W 90TH ST,,33.9551,-118.2814,400 ST90TH ST
202011201,6/21/2020,6/20/2020,1600,20,2011,1,510,0,,,101,-9,IC,Invest Cont,200 S MANHATTAN PL,,34.0712,-118.3104,200 MANHATTPL
201813546,7/5/2020,7/4/2020,2000,18,1863,2,626,39,F,H,501,400,IC,Invest Cont,400 E 115TH ST,,33.9301,-118.2664,400 ST115TH ST
201716222,12/11/2020,12/11/2020,100,17,1795,1,440,59,F,W,501,-9,IC,Invest Cont,17400 RAYMER ST,,34.2254,-118.5128,1740 RAYME ST
201822432,12/21/2020,12/21/2020,1630,18,1822,1,230,46,F,B,101,102,IC,Invest Cont,9700 S MAIN ST,,33.948,-118.2739,9700 ST MAIN ST
201412938,6/28/2020,6/21/2020,1200,14,1407,1,420,0,,,101,-9,IC,Invest Cont,3500 JASMINE AV,,34.026,-118.4052,3500 A JASMIN AV
201514257,8/23/2020,8/23/2020,130,15,1581,1,510,0,,,108,-9,IC,Invest Cont,4300 COLDWATER CANYON AV,,34.1482,-118.4138,4300 COLDWA AV
201607268,3/19/2020,3/18/2020,1150,16,1663,1,310,0,M,O,203,500,IC,Invest Cont,11800 WICKS ST,,34.2386,-118.402,1180 WICKSST
211704220,1/4/2021,12/4/2020,1400,17,1757,1,440,52,M,A,119,-9,IC,Invest Cont,10100 PETIT AV,,34.2538,-118.4981,1010 PETITAV
201517963,11/24/2020,11/22/2020,2000,15,1585,2,740,33,M,O,707,-9,IC,Invest Cont,4200 ARCH DR,,34.1421,-118.373,4200 ARCH DR
201607367,3/23/2020,3/23/2020,1200,16,1641,1,510,0,,,101,-9,IC,Invest Cont,13200 GOLETA ST,,34.253,-118.4202,1320 GOLET ST
201409688,4/16/2020,4/13/2020,1200,14,1464,1,330,36,M,W,707,-9,IC,Invest Cont,12400 FIELDING CI,,33.979,-118.4116,1240 CI FIELD CI
201713959,10/2/2020,10/2/2020,1153,17,1751,2,624,43,M,W,102,400,AO,Adult Other,21500 DEVONSHIRE ST,,34.2572,-118.5981,2150 DEVON ST
231322474,12/24/2023,1/9/2020,1200,13,1354,2,354,23,M,B,501,-9,IC,Invest Cont,4000 WALL ST,,34.0112,-118.2716,4000 WALL ST
201817112,9/12/2020,9/12/2020,1630,18,1842,1,230,30,M,H,101,114,IC,Invest Cont,112TH,SAN PEDRO,33.933,-118.2696,112T2TH
210505050,1/4/2021,12/29/2020,1600,5,503,1,330,39,M,H,101,-9,IC,Invest Cont,25600 BIXBY AV,,33.791,-118.2908,2560 BIXBYAV
201819155,10/19/2020,10/19/2020,1630,18,1842,1,420,0,,,101,-9,IC,Invest Cont,200 W 113TH ST,,33.932,-118.2757,200 ST113TH ST
202009025,4/27/2020,4/27/2020,2255,20,2022,1,210,42,M,H,101,102,IC,Invest Cont,4TH ST,MANHATTAN PL,34.0672,-118.3104,4TH S ST
201320641,11/30/2020,11/30/2020,1415,13,1313,2,624,59,M,H,406,400,IC,Invest Cont,400 E WASHINGTON BL,,34.0289,-118.2602,400 WASHING BL
201406266,2/7/2020,2/7/2020,2050,14,1444,2,624,28,M,A,203,400,IC,Invest Cont,4000 LINCOLN BL,,33.9905,-118.4478,4000 B LINCOL BL
202010011,5/21/2020,5/21/2020,450,20,2054,1,330,43,M,H,707,-9,IC,Invest Cont,900 S ARDMORE AV,,34.0539,-118.3021,900 ARDMORE AV
212104146,1/5/2021,12/12/2020,330,21,2177,1,440,55,M,X,507,-9,IC,Invest Cont,21600 BURBANK BL,,34.1733,-118.6002,2160 B BURBA BL
201513750,8/10/2020,8/10/2020,800,15,1567,2,740,0,M,W,301,-9,IC,Invest Cont,4500 N LANKERSHIM BL,,34.1523,-118.367,4500 LANKER BL
201706840,3/4/2020,3/3/2020,2000,17,1781,1,420,31,F,O,108,-9,IC,Invest Cont,20900 NORDHOFF ST,,34.2355,-118.5885,2090 ST NORDH ST
201613278,9/27/2020,9/27/2020,1250,16,1643,1,230,46,F,H,101,512,IC,Invest Cont,SAN FERNANDO,PIERCE,34.2631,-118.4189,SAN NANDONDO
202106439,2/24/2020,2/7/2020,1200,21,2149,2,354,64,F,W,501,-9,IC,Invest Cont,7000 CORBIN AV,,34.1958,-118.5666,7000 CORBIN AV
202018362,12/12/2020,12/9/2020,2230,20,2039,1,210,18,M,H,102,400,IC,Invest Cont,2900 LEEWARD AV,,34.0587,-118.2891,2900 A LEEWAR AV
202016135,10/20/2020,10/20/2020,850,20,2011,2,946,54,M,O,203,-9,IC,Invest Cont,200 S MANHATTAN PL,,34.069,-118.3104,200 MANHATTPL
201710668,7/1/2020,6/30/2020,2345,17,1794,1,440,0,X,X,241,500,IC,Invest Cont,18800 PARTHENIA ST,,34.2282,-118.5416,1880ST PARTHST
201807929,3/9/2020,3/9/2020,1450,18,1846,2,627,14,F,B,502,301,IC,Invest Cont,11200 SUCCESS AV,,33.9311,-118.2493,1120 A SUCCE AV
202112636,8/12/2020,8/12/2020,1400,21,2118,1,510,0,,,108,-9,AA,Adult Arrest,20100 ROSCOE BL,,34.2202,-118.5714,2010 ROSCO BL
201404740,1/13/2020,1/13/2020,1530,14,1454,1,350,50,F,W,403,-9,IC,Invest Cont,13100 MINDANAO WY,,33.9866,-118.4363,1310 WY MINDA WY
210904736,1/22/2021,12/17/2020,1338,9,984,1,440,18,M,B,119,-9,IC,Invest Cont,14500 GREENLEAF ST,,34.1482,-118.4494,1450ST GREENST
201912876,8/4/2020,8/2/2020,1545,19,1998,1,210,0,M,O,405,400,AA,Adult Arrest,7800 VAN NUYS BL,,34.2153,-118.4409,7800 BL VAN NU BL
201610897,7/9/2020,7/8/2020,1140,16,1653,1,310,33,M,H,203,-9,IC,Invest Cont,10100 SAN FERNANDO RD,,34.2537,-118.409,1010 SAN F RD
201817496,9/19/2020,9/13/2020,2000,18,1837,1,121,20,F,H,501,400,IC,Invest Cont,109TH ST,WILMINGTON,33.9371,-118.239,109TST ST
201713644,9/25/2020,9/25/2020,2148,17,1737,1,210,0,X,X,301,102,AA,Adult Arrest,11000 BALBOA BL,,34.2704,-118.5022,1100 BALBO BL
202113138,8/26/2020,8/19/2020,1955,21,2158,1,442,25,M,X,243,-9,IC,Invest Cont,6300 VARIEL AV,,34.1845,-118.5928,6300 VARIEL AV
201609625,6/1/2020,6/1/2020,1500,16,1657,2,626,24,F,H,502,400,AA,Adult Arrest,10100 HILLHAVEN AV,,34.2523,-118.2898,1010AV HILLHAV
202006765,2/27/2020,2/26/2020,1800,20,2099,1,510,0,,,101,-9,IC,Invest Cont,1400 W WASHINGTON BL,,34.0401,-118.2864,1400 WASHIN BL
201914080,9/2/2020,9/2/2020,1130,19,1918,1,230,0,M,X,102,500,AA,Adult Arrest,FOOTHILL BL,HUBBARD ST,34.3075,-118.4303,FOOTL BL
211905668,2/17/2021,12/13/2020,2000,19,1999,2,626,50,F,H,108,400,AO,Adult Other,7600 VENTURA CANYON AV,,34.2091,-118.4288,7600 VENTUR AV
201318462,10/13/2020,10/11/2020,2020,13,1365,1,420,51,M,H,501,-9,IC,Invest Cont,E 52ND ST,COMPTON AV,33.9957,-118.2478,E 5 ST ST
201312817,6/24/2020,6/24/2020,1220,13,1307,1,230,26,F,W,102,102,IC,Invest Cont,1100 E 7TH ST,,34.0382,-118.2432,1100 S 7TH ST
201421435,12/10/2020,12/10/2020,400,14,1466,2,626,25,M,B,501,400,AO,Adult Other,6500 S SEPULVEDA BL,,33.975,-118.4002,6500 SEPULVBL
201810022,4/23/2020,4/23/2020,1530,18,1822,2,930,47,F,H,501,511,AO,Adult Other,100 E 102ND ST,,33.9438,-118.2739,100 ST102ND ST
201600580,2/22/2020,2/22/2020,1804,16,1659,1,210,0,M,W,406,500,AA,Adult Arrest,6500 FOOTHILL BL,,34.2519,-118.2713,6500 BL FOOTHI BL
201613550,10/5/2020,10/3/2020,1200,16,1613,2,812,4,F,H,502,400,AA,Adult Arrest,11100 GLENOAKS BL,,34.2718,-118.4096,1110 BL GLENO BL
201700832,10/1/2020,10/1/2020,1508,17,1764,1,442,0,X,X,404,-9,IC,Invest Cont,9200 SHIRLEY AV,,34.2374,-118.558,9200 A SHIRLE AV
